name,ticker,image,link,round,total_raised,pre_valuation,categories,date,ecosystem,investor_1,investor_2,investor_3,investor_4,investor_5,investor_6,investor_7,investor_8
"Katana","KAT","https://icodrops.com/media/cache/62/f8/62f82f9c628e7d2e35de3c8b1aeeb19f.webp","https://icodrops.com/katana/","Binance Wallet Airdrop","—","—","Blockchain","9d left","","","","","","","","",""
"Avantis","AVNT","https://icodrops.com/media/cache/e0/10/e01027e560f575f8fb06d6b2e1c2e36a.webp","https://icodrops.com/avantis/","Airdrop","$12 M","$154 M","Perpetual","22d left","","Pantera Capital","Founders Fund","Galaxy","More Details","Ethereum","","",""
"Sproto Gremlins","","https://icodrops.com/media/cache/e2/b5/e2b5ac2bd9efd0d9ec66ba985ea8467c.webp","https://icodrops.com/sproto-gremlins/","NFT Sale","—","—","NFT","from Q2, 2023","","Ethereum","","","","","","",""
"EigenLayer","","https://icodrops.com/media/cache/fc/34/fc34b390a77ed3c664ed745da7539310.webp","https://icodrops.com/eigenlayer/","Points Farming","$234.4 M","$317.46 M","Liquid Staking Prot…","from Jun 14, 2023","","Andreessen Horowitz (a16z)","Blockchain Capital","Electric Capital","More Details","Ethereum","","",""
"Marginfi","MRGN","https://icodrops.com/media/cache/52/f8/52f8bb84339ce4d6c2c712cd8a7c8f63.webp","https://icodrops.com/marginfi/","Points Farming","$3 M","$100 M","Lending Platform","from Jul 3, 2023","","Multicoin Capital","Pantera Capital","Ryze Labs (Sino Global Capital)","More Details","Solana","","",""
"Worldcoin","WLD","https://icodrops.com/media/cache/41/38/41385c743b046f29ba236da84165db61.webp","https://icodrops.com/worldcoin/","Incentive Activities","$375 M","$3.73 B","Artificial Intellig…","from Jul 23, 2023","","1confirmation","Andreessen Horowitz (a16z)","a16z crypto CSX","More Details","Ethereum","Optimism","",""
"Project AEON","","https://icodrops.com/media/cache/3c/c7/3cc71dc0b29d10b698743c0148d0832f.webp","https://icodrops.com/project-aeon/","NFT Sale","—","—","NFT","from Nov 20, 2023","","","","","","","","",""
"INIT Capital","","https://icodrops.com/media/cache/20/1e/201e33aecc5783500cee8ab5c321571a.webp","https://icodrops.com/init-capital/","Points Farming","$3 M","$50 M","DeFi","from Dec 11, 2023","","Electric Capital","Bankless","Faction","More Details","Blast","Mantle","",""
"Kelp DAO","KEP","https://icodrops.com/media/cache/f3/82/f382420d16873478a99c6cd93cbb36b8.webp","https://icodrops.com/kelp-dao/","Points Farming","$9 M","$90 M","Platform","from Dec 12, 2023","","DWF Labs","Bankless","HTX Ventures (previously Huobi Ventures)","More Details","Ethereum","","",""
"CVEX","CVEX","https://icodrops.com/media/cache/7c/3b/7c3bf3d318504603c447ac31b0e8ac31.webp","https://icodrops.com/cvex/","Incentivized Activities","$7 M","—","DeFi","from Dec 23, 2023","","Fabric Ventures","FiveT Fintech","FunFair Ventures","More Details","","","",""
"Black Panther","BLACK","https://icodrops.com/media/cache/00/6e/006eefd291af3bb023502213eb1ab887.webp","https://icodrops.com/black-panther/","Incentivized Activities","—","$1.32 M","DeFi","from Dec 26, 2023","","Taureon","CSP DAO","DojoSwap","More Details","Injective Protocol","","",""
"Kalshi","","https://icodrops.com/media/cache/38/53/385320095c742ff47898e9be57811046.webp","https://icodrops.com/kalshi/","Possible Retrodrop","$1.49 B","$11 B","Predictions","from Q1, 2024","","Andreessen Horowitz (a16z)","Multicoin Capital","Paradigm","More Details","","","",""
"Polymarket","","https://icodrops.com/media/cache/e3/d3/e3d38e55ee7adc6c26031ae0cfb8a8bb.webp","https://icodrops.com/polymarket/","Possible Retrodrop","$2.28 B","$9 B","DeFi","from Q1, 2024","","1confirmation","Balaji Srinivasan","Blockchain Capital","More Details","","","",""
"Eigenpie SubDAO","EGP","https://icodrops.com/media/cache/43/b7/43b7e1a6a38b05a0069a7693926bcebb.webp","https://icodrops.com/eigenpie-subdao/","Points Farming","—","$411.7 K","DeFi","from Jan 22, 2024","","Robot Ventures","Sam Kazemian","Akshat Vaidya","More Details","Ethereum","","",""
"Partisia Blockchain","MPC","https://icodrops.com/media/cache/a4/27/a42743e9b9d9894b70e1101bfcef56ec.webp","https://icodrops.com/partisia-blockchain/","Airdrop","$53.9 M","$7.74 M","Blockchain Service","from Feb 1, 2024","","BitScale Capital","Gate.io","Kosmos Ventures","More Details","","","",""
"Puffer Finance","PUFFER","https://icodrops.com/media/cache/ce/b5/ceb54e5ecf61b1a4568410a0e36bb54e.webp","https://icodrops.com/puffer-finance/","Points Farming","$24.27 M","$26.16 M","Liquid Staking Prot…","from Feb 1, 2024","","YZi Labs (prev Binance Labs)","Brevan Howard","Electric Capital","More Details","Ethereum","","",""
