name,ticker,link,price_24h,change_24h,volume_24h,fdv,market_cap,funding_price,roi,total_raised,date,investor_1,investor_2,investor_3,investor_4
"CAP","CAP","https://icodrops.com/cap-3/","$0.0691","3.32%","$14.21 M","$691 M","$107.8 M","0.0106","6.53x","$14.12 M","Jun 26, 2026","Fernando Martinelli","Selini Capital","Bryan Pellegrino","More Details"
"Arcium (Elusiv)","","https://icodrops.com/arcium/","$0.1204","-2.77%","$3.19 M","$200.3 M","$25.14 M","0.2","0.6x","$14 M","Jun 22, 2026","Jump Crypto","Coinbase Ventures","Moonrock Capital","More Details"
"Your Open Metaverse (YOM)","YOM","https://icodrops.com/your-open-metaverse/","$0.0197","-1.29%","$2.5 M","$14.7 M","$2.6 M","0.075","0.26x","$3.08 M","Jun 5, 2026","","","",""
"XMAQUINA","DEUS","https://icodrops.com/xmaquina/","$0.01858","-15.44%","$509.98 K","$18.58 M","$9.29 M","0.045","0.41x","$10.31 M","May 27, 2026","Fundamental Labs","Moonrock Capital","CoinIX","More Details"
"Nexus Laboratories","NEX","https://icodrops.com/nexus-laboratories/","$0.00000144","-2.05%","$281.95 K","$295 M","$86.4 M","—","—","$25 M","May 20, 2026","Lightspeed Venture Partners","Pantera Capital","Dragonfly Capital","More Details"
"Billions Network","","https://icodrops.com/billions-network/","$0.0189","-4.51%","$1.27 M","$189 M","$45.89 M","0.01","1.89x","$35 M","May 4, 2026","Polychain Capital","BITKRAFT Ventures","Coinbase Ventures","More Details"
"Gensyn","AI","https://icodrops.com/gensyn/","$0.01955","-2.91%","$1.55 M","$192.2 M","$25.51 M","0.0473","0.41x","$66.74 M","Apr 29, 2026","Andreessen Horowitz (a16z)","CoinFund","Galaxy","More Details"
"OpenGradient","OPG","https://icodrops.com/opengradient/","$0.09433","-1.90%","$9.04 M","$93.53 M","$20.93 M","—","—","$8.5 M","Apr 21, 2026","Andreessen Horowitz (a16z)","Balaji Srinivasan","Coinbase Ventures","More Details"
"Octra","OCT","https://icodrops.com/octra/","$0.02165","-3.69%","$17.55 K","$13.54 M","$13.54 M","0.2","0.11x","$8 M","Apr 20, 2026","Big Brain Holdings","Outlier Ventures","Builder Capital","More Details"
"Sentio","ST","https://icodrops.com/sentio/","$0.01268","-3.27%","$64.27 K","$19.6 M","$710.08 K","0.02","0.63x","$6.6 M","Apr 15, 2026","Lightspeed Venture Partners","HashKey Capital","GSR Ventures","More Details"
"Genius","GENIUS","https://icodrops.com/genius-2/","$0.2822","-1.04%","$7.79 M","$515.24 M","$94.64 M","—","1.45x","$6 M","Apr 13, 2026","Balaji Srinivasan","YZi Labs (prev Binance Labs)","Anthony Scaramucci","More Details"
"Mandala Chain","KPG","https://icodrops.com/mandala-chain/","$0.002022","-1.47%","$128.44","$2.47 M","$48.53 K","0.029","0.07x","$1 M","Apr 12, 2026","Harbour Industrial Capital","NLS Ventures","O-DE Capital Partners",""
"Anthropic","","https://icodrops.com/anthropic/","$1916.06","0.82%","$6.57 M","$965 B","—","—","—","$117.5 B","Apr 9, 2026","Lightspeed Venture Partners","Sequoia Capital","BlackRock","More Details"
"USD.AI","CHIP","https://icodrops.com/usd-ai/","$0.03933","-2.54%","$12.25 M","$393.3 M","$78.66 M","0.03","1.32x","$36.8 M","Mar 30, 2026","YZi Labs (prev Binance Labs)","Framework Ventures","CMT Digital","More Details"
"Based","BASED","https://icodrops.com/based-one/","$0.06723","-5.97%","$7.29 M","$77.09 M","$15.8 M","—","—","$11.5 M","Mar 30, 2026","Pantera Capital","Coinbase Ventures","Wintermute","More Details"
"Katana","KAT","https://icodrops.com/katana/","$0.004578","-0.58%","$4.24 M","$45.78 M","$14.52 M","—","—","—","Mar 18, 2026","","","",""
"Backpack","BP","https://icodrops.com/backpack/","$0.4117","0.09%","$1.81 M","$411.7 M","$102.92 M","—","—","$37 M","Mar 17, 2026","Jump Crypto","Multicoin Capital","Amber Group","More Details"
"Unitas","UP","https://icodrops.com/unitas/","$0.503","5.39%","$13.56 M","$503 M","$73.44 M","0.005","101x","$13.33 M","Mar 13, 2026","Amber Group","Bixin Ventures","SevenX Ventures","More Details"
"Yellow Network","","https://icodrops.com/yellow-network/","$0.03443","-4.71%","$1.85 K","$372.6 M","$6.68 M","—","0.96x","$11 M","Mar 8, 2026","ConsenSys","Moonrock Capital","MV Global","More Details"
"idOS","IDOS","https://icodrops.com/idos/","$0.005404","0.98%","$66.96 K","$5.53 M","$1.54 M","—","—","$4.5 M","Mar 5, 2026","Fabric Ventures","Aleph","Arbitrum Foundation","More Details"
"Block Street","BSB","https://icodrops.com/block-street/","$0.1052","-0.38%","$3.5 M","$106.7 M","$24.86 M","—","—","$11.5 M","Mar 4, 2026","DWF Labs","Hack VC","Bridge34","More Details"
"Opinion Labs","OPN","https://icodrops.com/opinion-labs/","$0.05386","-1.44%","$3.58 M","$54.4 M","$9.71 M","—","—","$25 M","Mar 2, 2026","YZi Labs (prev Binance Labs)","Jump Crypto","Amber Group","More Details"
"Bitway","BTW","https://icodrops.com/bitway/","$0.4085","1.91%","$5.43 M","$4.08 B","$1.11 B","0.008","50.68x","$5.44 M","Mar 2, 2026","YZi Labs (prev Binance Labs)","HTX Ventures (previously Huobi Ventures)","Tron",""
"Mezo","","https://icodrops.com/mezo/","$0.007067","-0.54%","$237.97 K","$7.25 M","$607.68 K","—","—","$28.5 M","Feb 27, 2026","Multicoin Capital","Pantera Capital","Draper Associates","More Details"
"Flying Tulip","FT","https://icodrops.com/flying-tulip/","$0.1001","-1.24%","$244.59 K","$1.01 B","$2.07 M","0.1","1x","$431.5 M","Feb 23, 2026","Brevan Howard","DWF Labs","Amber Group","More Details"
"Aztec","AZTEC","https://icodrops.com/aztec/","$0.01337","-0.17%","$948.52 K","$140.14 M","$38.5 M","0.047","0.28x","$178.23 M","Feb 11, 2026","Andreessen Horowitz (a16z)","Paradigm","Variant","More Details"
"Superform","UP","https://icodrops.com/superform/","$0.05301","-2.44%","$1.55 M","$54.15 M","$11.72 M","—","1.06x","$12.92 M","Feb 10, 2026","Polychain Capital","Amber Group","Strobe (Prev. BlockTower Capital)","More Details"
"Rainbow","RNBW","https://icodrops.com/rainbow/","$0.01353","-5.13%","$194.93 K","$14.86 M","$2.84 M","0.1","0.14x","$19.5 M","Feb 5, 2026","35Ventures","Hyperguap","Nikita Bier","More Details"
"Tea","TEA","https://icodrops.com/tea/","$0.00003841","0.16%","$1.78 M","$4.35 M","$733.62 K","0.0005","0.08x","$16.9 M","Feb 5, 2026","YZi Labs (prev Binance Labs)","Woodstock Fund","RockTree Capital","More Details"
"Tria","TRIA","https://icodrops.com/tria/","$0.004957","-8.35%","$2.25 M","$125.6 M","$10.7 M","—","0.31x","$12 M","Feb 3, 2026","P2 Ventures","Sandeep Nailwal","Aptos","More Details"
"Zama","ZAMA","https://icodrops.com/zama/","$0.04966","-5.87%","$5.83 M","$368.39 M","$109.25 M","0.05","1x","$229 M","Feb 2, 2026","Multicoin Capital","Pantera Capital","Blockchange Ventures","More Details"
"Infinex","INX","https://icodrops.com/infinex/","$0.006567","-5.02%","$1.31 M","$65.67 M","$13.1 M","—","0.33x","$130.58 M","Jan 30, 2026","Framework Ventures","0xMaki","Arthur Cheong","More Details"
"Immunefi","IMU","https://icodrops.com/immunefi/","$0.002312","-0.24%","$602.21 K","$28.39 M","$2.43 M","0.0118","0.2x","$37 M","Jan 22, 2026","Electric Capital","Framework Ventures","IDEO CoLab Ventures","More Details"
"ETHGAS","GWEI","https://icodrops.com/ethgas/","$0.02347","-5.92%","$3.97 M","$241.9 M","$41.07 M","—","0.87x","$12 M","Jan 21, 2026","Polychain Capital","Amber Group","BlueYard","More Details"
"Seeker (Solana Mobile)","SKR","https://icodrops.com/seeker-solana-mobile/","$0.02908","78.46%","$336.05 M","$98.83 M","$141.52 M","—","1.04x","—","Jan 21, 2026","","","",""
"HeyElsa","ELSA","https://icodrops.com/heyelsa/","$0.04641","0.55%","$1.7 M","$57.44 M","$11.86 M","—","—","$3 M","Jan 20, 2026","2Shares","Absoluta Digital","Alexey Bondar","More Details"
"Acurast","ACU","https://icodrops.com/acurast/","$0.1157","-6.18%","$3.33 M","$84.96 M","$25.11 M","0.09","1.3x","$20.4 M","Jan 20, 2026","CoinList","Gavin Wood","Leonard Dorlochter","More Details"
"RollX","ROLL","https://icodrops.com/rollx/","$0.1384","1.96%","$637.37 K","$138.7 M","$21.45 M","—","—","—","Jan 16, 2026","","","",""
"Owlto Finance","OWL","https://icodrops.com/owlto-finance/","$0.0008007","-2.08%","$142.96 K","$1.43 M","$264.23 K","—","—","$8 M","Jan 15, 2026","Bixin Ventures","SNZ Holding","x21 Digital","More Details"
"Fogo","FOGO","https://icodrops.com/fogo/","$0.00732","-3.10%","$1.71 M","$81.82 M","$28.41 M","0.035","0.21x","$20.5 M","Jan 15, 2026","Cobie","CMS Holdings","Selini Capital","More Details"
"DeepNode AI","DN","https://icodrops.com/deepnode-ai/","$0.02307","7.78%","$373.07 K","$8 M","$519.08 K","—","—","$5 M","Jan 9, 2026","Blockchain Founders Fund","FOMO Ventures","IOBC Capital","More Details"
"ZenChain","ZTC","https://icodrops.com/zenchain/","$0.0005545","-0.16%","$186.27 K","$11.64 M","$3.09 M","—","—","$10 M","Jan 7, 2026","DWF Labs","Genesis capital","Watermelon Capital",""
