name,ticker,image,link,round,total_raised,pre_valuation,categories,date,ecosystem,investor_1,investor_2,investor_3,investor_4,investor_5,investor_6,investor_7,investor_8
"EarnBIT","EBT","https://icodrops.com/media/cache/0c/9c/0c9cf09cbcd70edcabce5efef70206d6.webp","https://icodrops.com/earnbit/","TGE and Distribution","—","$10 M","CEX","Q2, 2026","","Ethereum","","","","","","",""
"AtlasOra","AORA","https://icodrops.com/media/cache/de/8f/de8f049f9213d26177777252936aeca3.webp","https://icodrops.com/atlasora/","TGE and Distribution","—","—","Blockchain Service","Upcoming","","Base","","","","","","",""
"WorldX","WLDX","https://icodrops.com/media/cache/33/91/33910d056831eeb007683be62f9fcb7f.webp","https://icodrops.com/worldx/","TGE and Distribution","—","$25 M","Exchange","Upcoming","","","","","","","","",""
"Mendel","MENDEL","https://icodrops.com/media/cache/56/a4/56a417ee73562003415d6cb0de811e3e.webp","https://icodrops.com/mendel/","TGE and Distribution","—","—","Blockchain","Upcoming","","","","","","","","",""
"Chatllat","CLAT","https://icodrops.com/media/cache/67/63/67638b7bbaa25b2f1716413944693373.webp","https://icodrops.com/chatllat/","IDO on Kommunitas","—","$6 M","Blockchain Service","Upcoming","","","","","","","","",""
"Konnex","","https://icodrops.com/media/cache/3d/8a/3d8abd2a3fc36174ac112d02553019c7.webp","https://icodrops.com/konnex/","TGE and Distribution","$15 M","—","Blockchain Service","Upcoming","","LD Capital","Cogitent Ventures","Covey","More Details","","","",""
"AntDrop","ANT","https://icodrops.com/media/cache/1f/a3/1fa338df9e2fe8cb0ea963af2a1ffbec.webp","https://icodrops.com/antdrop/","IDO on Spores","—","$10 M","Blockchain Service","Upcoming","","","","","","","","",""
"CAP","","https://icodrops.com/media/cache/85/fd/85fd9267ef82077ec0981896538db1ed.webp","https://icodrops.com/cap-3/","TGE and Distribution","$9.9 M","—","DeFi","Upcoming","","Fernando Martinelli","Selini Capital","Bryan Pellegrino","More Details","","","",""
"Magicblock","BLOCK","https://icodrops.com/media/cache/1b/3a/1b3a1234b526572080780bcb2b097dfd.webp","https://icodrops.com/magicblock/","TGE and Distribution","$10.5 M","—","Infrastructure","Upcoming","","Andreessen Horowitz (a16z)","Lightspeed Venture Partners","Mechanism Capital","More Details","Solana","","",""
"ChimpX AI","CHIMP","https://icodrops.com/media/cache/fd/46/fd46e3e8197f75ec044fd4b725b3710c.webp","https://icodrops.com/chimpx-ai/","IDO on Eesee","—","$30 M","DeFi","Upcoming","","","","","","","","",""
"Probable","","https://icodrops.com/media/cache/54/f0/54f090c5c5a1b8dac00ea5a0396594f8.webp","https://icodrops.com/probable/","TGE and Distribution","—","—","Predictions","Upcoming","","YZi Labs (prev Binance Labs)","PancakeSwap","Predict.fun","Binance coin","","","",""
"XMAQUINA","DEUS","https://icodrops.com/media/cache/4c/0b/4c0b0176523cb571653faaff55c94134.webp","https://icodrops.com/xmaquina/","TGE and Distribution","$10.31 M","$60 M","Robotics","Upcoming","","Fundamental Labs","Moonrock Capital","CoinIX","More Details","","","",""
"PENXCHAIN","PENX","https://icodrops.com/media/cache/dd/42/dd42475b59833b40f42e93c7ab290872.webp","https://icodrops.com/penxchain/","TGE and Distribution","—","$3 M","Blockchain Service","Upcoming","","","","","","","","",""
"HyperSignals","","https://icodrops.com/media/cache/40/e9/40e9aa155eb8d694bd0d0f5f099abad0.webp","https://icodrops.com/hypersignals/","TGE and Distribution","—","—","Trading","Upcoming","","","","","","","","",""
"Solstice","SLX","https://icodrops.com/media/cache/6e/73/6e7360c5664847bb9ec25d510745cb5f.webp","https://icodrops.com/solstice/","TGE and Distribution","—","—","DeFi","Upcoming","","Solana","","","","","","",""
"LeverUp","LV","https://icodrops.com/media/cache/d3/77/d3779c99d02ab85b24ccf8a348a5de95.webp","https://icodrops.com/leverup/","TGE and Distribution","—","$10 M","DeFi","Upcoming","","Monad","","","","","","",""
"Octra","OCT","https://icodrops.com/media/cache/ce/f0/cef0d879c9381a1fb23ca5d1c389a9d4.webp","https://icodrops.com/octra/","TGE and Distribution","$8 M","$200 M","Infrastructure","Upcoming","","Big Brain Holdings","Outlier Ventures","Builder Capital","More Details","","","",""
"Space","SPACE","https://icodrops.com/media/cache/87/4e/874eb27f18c3768349a43347a073d92f.webp","https://icodrops.com/space/","TGE and Distribution","$17.75 M","$69 M","Prediction","Upcoming","","Morningstar Ventures","Impossible Finance","Arctic Digital","More Details","Solana","","",""
"SONAMI","SNMI","https://icodrops.com/media/cache/bd/2b/bd2b07b020cd6eed8e1f4ab2ef7e869e.webp","https://icodrops.com/sonami/","TGE and Distribution","$13 K","$83 M","Layer2","Upcoming","","Solana","","","","","","",""
"Chainers","CHU","https://icodrops.com/media/cache/85/6c/856c0fcc060dd726e68877173ad71537.webp","https://icodrops.com/chainers/","Presale","—","$19.98 M","GameFi","Upcoming","","","","","","","","",""
"SecantX AI","SECA","https://icodrops.com/media/cache/e0/4d/e04de92e046cf25b5ab8f1e0d4210643.webp","https://icodrops.com/secantx-ai/","TGE and Distribution","$300 K","$70 M","Analytics","Upcoming","","","","","","","","",""
"Tea-REX","TReX","https://icodrops.com/media/cache/c2/1b/c21b8ac452a8e2ff23f2b38bd1349d1b.webp","https://icodrops.com/tea-rex/","TGE and Distribution","—","$2 M","Trading","Upcoming","","Sei Network","","","","","","",""
